ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,high court,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
NmHenfi2QDc,2022-09-16,-0.9937121868133544,1517.0,TV5,378.0,0.0,rajinikanth.png,V. Rajinikanth,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zxGC4G-JsjE,2022-09-17,0.9985426664352416,1208.0,TV5,295.0,1.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OoKZcSIl9Dc,2022-09-17,0.9937329888343812,620.0,TV5,475.0,0.0,rajinikanth.png,V. Rajinikanth,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rCk2ooOkP9A,2022-09-17,0.9981535077095032,2249.0,TV5,467.0,2.0,rajinikanth.png,V. Rajinikanth,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xpwo1zLLm54,2022-09-18,-0.9810323119163512,1470.0,TV5,165.0,0.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5t8kYPqH_Mw,2022-09-18,0.9949927926063538,3765.0,TV5,90.0,6.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nsuemWdHNWk,2022-09-19,-0.9971753358840942,97290.0,TV5,167.0,392.0,rajinikanth.png,V. Rajinikanth,MEDIA,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKRw2Iilszo,2022-09-20,0.9937545657157898,1650.0,TV5,530.0,3.0,rajinikanth.png,V. Rajinikanth,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE6Nh0e5058,2022-09-22,-0.9973974227905272,45850.0,TV5,189.0,69.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bRukGTyHuHA,2022-09-26,-0.9686846137046814,3270.0,TV5,270.0,6.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
f7vrY-b4kdU,2022-09-27,0.989560604095459,8364.0,TV5,397.0,10.0,rajinikanth.png,V. Rajinikanth,MEDIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppOPY8LVg_g,2022-09-27,-0.998040497303009,24730.0,TV5,285.0,62.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOlk3oi9JDk,2022-09-27,0.9930041432380676,9832.0,TV5,496.0,5.0,rajinikanth.png,V. Rajinikanth,MEDIA,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPEcDhGzCso,2022-09-28,0.9912633895874025,8374.0,Sakshi,511.0,12.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
qMekXU1_4ek,2022-09-29,-0.990670084953308,6249.0,TV5,260.0,31.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
yWcGE-GFl78,2022-10-01,0.9898861646652222,155668.0,TV5,508.0,211.0,rajinikanth.png,V. Rajinikanth,MEDIA,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5xtsa8Dxl7k,2022-10-01,-0.999107539653778,2972.0,TV5,165.0,4.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k0h0NwLT64I,2022-10-01,-0.9982935786247252,22604.0,TV5,530.0,20.0,rajinikanth.png,V. Rajinikanth,MEDIA,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TzYzB7kxSF0,2022-10-02,0.9906958341598512,2270.0,TV5,260.0,7.0,rajinikanth.png,V. Rajinikanth,MEDIA,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
