ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,visakha
wZ7cl3uiris,2023-01-28,-0.9980711340904236,9429.0,ABN,260.0,11.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
O9RaVAxC3zY,2023-01-28,0.983847439289093,7601.0,ABN,145.0,25.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
hi_VYkKRBvs,2023-01-28,-0.9907045960426332,51343.0,ABN,530.0,160.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
_5KGUBz1308,2023-01-28,0.9808011651039124,138073.0,ABN,520.0,94.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
3R9J4tRvJtc,2023-01-28,0.9942525029182434,5368.0,ABN,285.0,16.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
378vLekK-1Q,2023-01-28,-0.9984605312347412,17595.0,ABN,225.0,10.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,1,0,0,0,0,0,0,0,0
uBOhCjlxPKA,2023-01-29,-0.9977411031723022,11924.0,ABN,205.0,28.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,1,0,0,0,1,1,1,0,0,1
Pd-w1mCsu-s,2023-01-29,-0.9977624416351318,5781.0,TV9,164.0,10.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,0,0,0,0,0,1,0,0,0,0,0
4IFb9Eu4CdU,2023-01-29,-0.9942665696144104,260559.0,Sakshi,486.0,268.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,0,1,0,0,0,0,0,0,0,0
SbvqQfEYERg,2023-01-30,-0.996911346912384,15269.0,TV9,112.0,12.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
21betK2WcbY,2023-02-02,-0.9990854263305664,2987.0,ABN,275.0,3.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,1,1,0,1,0,0,0,0,0,0
Sd_V6DaJWcA,2023-02-03,0.9977860450744628,347.0,ABN,230.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
