ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today,alliance,roja,yuvashakti,suprem court,ap development,tadipatri
JYTfKFu-shY,2023-02-21,-0.9864293336868286,1045.0,TV9,284.0,0.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8vZLGKUj2k,2023-02-22,-0.9906445741653442,456.0,TV9,336.0,0.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpYPMV2AgoE,2023-02-24,-0.9966952800750732,5613.0,TV9,216.0,7.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,1,0,0,0,0,0,1,0
hwK6W1iDBuo,2023-02-24,-0.9937008619308472,2397.0,TV9,270.0,3.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,1,1,0,0,0,0,0,0,0
YCDf230qfYE,2023-02-27,-0.9954267740249634,2632.0,TV5,105.0,11.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,1,1,1,0,1,0,0,0,0,1,0,1,0,1
oYsveZRQ-1w,2023-02-27,-0.998332679271698,904.0,TV9,271.0,1.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9B1q8-QZfx0,2023-02-27,-0.99598491191864,1312.0,TV9,323.0,3.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,1,0,0,1,0,0
TpH8XraPWiM,2023-03-01,-0.990876853466034,537.0,TV9,308.0,1.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIi3nt0lMmw,2023-03-01,0.9966995120048524,390.0,TV9,284.0,1.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FQy_7gcx_Hw,2023-03-02,0.9981303811073304,2298.0,TV9,285.0,1.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
