ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,amaravati,tdp pattabhi,ap employees,ap assembly session today,alliance,Peddireddy ,visakha
IsV4lZqTFCg,2022-11-19,0.9976958632469176,1220.0,TV5,135.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
XYUNpKVU-84,2022-11-19,-0.9978931546211244,3111.0,TV5,150.0,4.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-mbxZZtQ1fg,2022-11-19,-0.998102605342865,694.0,TV9,133.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
9KBlp6AVeo4,2022-11-20,-0.6307870745658875,64873.0,TV9,202.0,8.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u2R7Y7Qevtc,2022-11-21,0.9813976287841796,10582.0,TV9,399.0,29.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8deHjvyfjoI,2022-11-23,0.9970723390579224,126050.0,TV5,225.0,203.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v8XIpSi7CA4,2022-11-23,-0.9916549921035768,5420.0,TV9,174.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
nRypunLysVY,2022-11-23,-0.9972559809684752,1936.0,TV9,92.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
K3swO12uZM0,2022-11-24,-0.9976457953453064,1626.0,TV9,178.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
_CPaPGo5Zyo,2022-11-24,-0.9980602860450744,1248.0,TV9,428.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
