ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,alliance,Peddireddy ,polavaram,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
XJ409jVHyqg,2023-01-21,0.997191607952118,218829.0,TV9,216.0,76.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lBE81m-TGsw,2023-01-23,-0.9892149567604064,2860.0,Sakshi,270.0,17.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DoW9f-mcGF8,2023-01-23,-0.998767912387848,1221.0,TV9,52.0,1.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
jyenEZwI2YI,2023-01-23,-0.994236171245575,799.0,TV9,153.0,2.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
t4D3h9uajIY,2023-01-23,-0.8243867754936218,13451.0,Sakshi,540.0,43.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cP35OW4I7nI,2023-01-23,0.995971381664276,1040.0,TV9,141.0,0.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rlq8x57JLrQ,2023-01-24,-0.9980036616325378,7154.0,TV9,76.0,8.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
IjlmefpysDY,2023-01-25,0.9984525442123412,2660.0,TV9,100.0,10.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mnG7VYz1Ajc,2023-01-27,-0.9965317845344543,3547.0,TV9,204.0,1.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecvF8tb0xtg,2023-01-27,0.9973709583282472,5282.0,Sakshi,508.0,18.0,vishakapatnam_north.png,Ganta Srinivasarao,TDP,vishakapatnam_north,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
