ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,Sajjala ,high court,alliance,yuvashakti,suprem court,ap development,tadipatri,High Court
qZyw0p3lPV4,2023-01-19,-0.997619092464447,925.0,ABN,325.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0
fEe4bHnqXhc,2023-01-20,0.9963796734809875,861.0,Sakshi,237.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0
Dlao6cvaD5g,2023-01-24,-0.989801824092865,1241.0,Sakshi,212.0,7.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
xzpUfy-a16U,2023-01-26,0.9926393032073976,10832.0,TV5,343.0,15.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
espaP_0NC90,2023-01-31,0.994531512260437,4149.0,Sakshi,106.0,5.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
gpQUOe_QWpM,2023-02-01,0.9921004176139832,1067.0,TV9,457.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alys939iPlk,2023-02-03,-0.994778037071228,13213.0,Sakshi,535.0,34.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HG-DjVM4hrs,2023-02-04,0.9980136156082152,65002.0,Sakshi,185.0,85.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
YHEqnG5QOmo,2023-02-05,-0.9981704950332642,2173.0,TV9,325.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YfUZEc3Hplg,2023-02-05,0.9974048733711244,1185.0,TV9,325.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cHOC7lYTvCA,2023-02-05,0.9964308738708496,924.0,TV9,202.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iPnqvl7G8os,2023-02-05,0.9975628852844238,1860.0,TV9,293.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8jJU6r5Qco0,2023-02-05,-0.999323844909668,2019.0,TV9,229.0,1.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
qHDehtsw9IM,2023-02-09,0.9971410036087036,341.0,TV9,261.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6YyONNHIiM4,2023-02-09,0.9968023300170898,344.0,TV9,263.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ach97IMIruI,2023-02-11,0.9985652565956116,4769.0,ABN,368.0,12.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Nr9t0WjMB7c,2023-02-12,0.9981217980384828,1480.0,ABN,174.0,2.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WYo1b_rW5w8,2023-02-13,0.9975855350494384,682.0,TV9,332.0,3.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n2_bih7dJs0,2023-02-15,-0.9911275506019592,938.0,TV9,545.0,5.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LalxNoeFnj0,2023-02-15,-0.9909747242927552,895.0,TV9,455.0,6.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FcEdkWY1ils,2023-02-17,0.9889684915542604,2184.0,TV9,145.0,6.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ykpKi3O2bJU,2023-02-18,-0.9974554181098938,1023.0,Sakshi,523.0,13.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gM7VEKDJlyo,2023-02-20,0.9972941279411316,4162.0,TV9,391.0,4.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
YDjPzsIEOwQ,2023-02-20,0.9925218224525452,8827.0,TV9,232.0,6.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AtIfEdDVElI,2023-02-20,0.99723082780838,2469.0,TV9,319.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
