ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha
QJNp7-30LRY,2022-10-10,0.997703492641449,2221.0,Sakshi,167.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k15bC0PPJhc,2022-10-12,-0.9987449645996094,10976.0,TV5,315.0,20.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1
EPysd7JNi-U,2022-10-12,0.9987174272537231,5605.0,Sakshi,221.0,18.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uoplsp1tpSw,2022-10-13,-0.9886841177940368,213050.0,TV5,512.0,127.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WNqggUOnN8E,2022-10-15,-0.9946852922439576,4786.0,Sakshi,358.0,14.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
MyfJoFhAQmg,2022-10-20,-0.9982446432113647,3189.0,ABN,285.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
_METAoDiaiE,2022-10-20,0.9858864545822144,46066.0,Sakshi,400.0,118.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
_Em7YJgETzE,2022-10-21,0.9775640368461608,56664.0,TV5,369.0,78.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
slAGYq-6DG8,2022-10-21,-0.9823051691055298,61800.0,TV5,457.0,21.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hbh36SbIaEo,2022-10-22,-0.9969022870063782,14322.0,Sakshi,246.0,338.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
zY-OeuCzeV4,2022-10-23,-0.9973133206367492,7783.0,TV5,265.0,29.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
fapH1N2yzx4,2022-10-24,0.9986408352851868,613.0,ABN,258.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
bp0-4CV4M_Q,2022-10-25,0.9983397722244264,15095.0,Sakshi,360.0,17.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
