ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Kuppam,janasena party,tdp pattabhi,ap employees,Vidadala Rajini,ap assembly session today,Atchannaidu,gorantla ,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy, vidadala ,vijayasai reddy,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,vangaveeti radha,suprem court,ap development,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,gudivada ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
sPHEM5J9UV4,2022-06-20,0.9921974539756776,4137.0,Sakshi,172.0,24.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4AJzF2oD6r0,2022-06-25,0.9971297383308412,893.0,Sakshi,439.0,0.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yeVe29fobLs,2022-06-26,0.998271107673645,69114.0,Sakshi,278.0,71.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0P4iTHLLkjM,2022-06-26,0.9985318183898926,12967.0,Sakshi,209.0,13.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eOrrIL8aO-w,2022-06-29,0.9830370545387268,1692.0,Sakshi,315.0,0.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rwTRK8IThuA,2022-07-02,-0.9987717270851136,39360.0,Sakshi,411.0,109.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_T0bnZTkd_8,2022-07-04,0.9962673783302308,6027.0,Sakshi,322.0,17.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
UlnkUaVoWoQ,2022-07-06,-0.9979583024978638,6453.0,Sakshi,134.0,11.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_X-H0laKpBE,2022-07-07,0.9974702596664428,2638.0,Sakshi,249.0,3.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4pLmgovDjbU,2022-07-10,0.9862492680549622,588256.0,Sakshi,559.0,870.0,vijayawada_east.png,Gadde Ramamohan,TDP,Vijayawada_east,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
