ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,Peddireddy ,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy
t5_4LPO5zOQ,2022-09-15,-0.9984227418899536,2347.0,TV5,256.0,4.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKJFaN4oCaQ,2022-09-22,-0.9918896555900574,310.0,TV5,260.0,1.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hAd9SljMq7c,2022-09-23,0.9940191507339478,26770.0,Sakshi,248.0,83.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
ytwy4JtAR1Q,2022-09-23,-0.9910567998886108,61635.0,Sakshi,404.0,43.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gXd3ZIe20Og,2022-09-23,0.9893667101860046,1371.0,TV5,417.0,0.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0mJfr1gNqqw,2022-09-28,0.9949179887771606,16656.0,TV5,73.0,1.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeCoiplHyrc,2022-09-28,-0.7784550786018372,8117.0,Sakshi,147.0,21.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EM672ImIVJY,2022-09-28,-0.998084545135498,3004.0,TV5,304.0,1.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M93a6vc4680,2022-10-03,0.968984603881836,3592.0,TV5,214.0,11.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
vwpmaaVA_YE,2022-10-03,-0.9864240288734436,3391.0,TV5,97.0,5.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
IJU7oJfS0F8,2022-10-04,0.998190939426422,927.0,Sakshi,183.0,0.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
QkC_IKFaBW8,2022-10-05,0.9984795451164246,2274.0,Sakshi,478.0,5.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBFORdLiYdM,2022-10-10,-0.9931796789169312,119492.0,Sakshi,430.0,193.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fpulqhotlpg,2022-10-12,0.990829586982727,2293.0,Sakshi,493.0,4.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
yYk0LOKdXqo,2022-10-12,-0.9953792095184326,1386.0,Sakshi,229.0,3.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1NQGL3Aywp0,2022-10-16,0.9974965453147888,7995.0,TV5,351.0,10.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSytnAIyIbc,2022-10-16,-0.9974263310432434,5026.0,Sakshi,445.0,11.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
-uhJy4VcNEo,2022-10-16,-0.93123459815979,3905.0,Sakshi,503.0,25.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
te0y4DRnmP0,2022-10-16,-0.994621992111206,29234.0,ABN,352.0,85.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Pr6_3KlbvBA,2022-10-17,0.9983409643173218,59083.0,Sakshi,421.0,152.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d8YNLgSBcM,2022-10-17,-0.9991771578788756,52924.0,ABN,190.0,122.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L4HFz7zNxbI,2022-10-18,0.9863735437393188,205710.0,ABN,465.0,154.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h5h779nomew,2022-10-18,-0.99694162607193,9787.0,ABN,304.0,5.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PsJPSl0bWLw,2022-10-19,-0.9988885521888732,940558.0,Sakshi,296.0,0.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
ARRiLIeyCh4,2022-10-20,0.9912471175193788,577820.0,Sakshi,532.0,0.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPGVAR-PwrM,2022-10-20,0.9985100626945496,926.0,Sakshi,161.0,1.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j3-PrRzEdwc,2022-10-21,0.9914246797561646,491.0,ABN,226.0,0.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gVs_du3fF7E,2022-10-22,-0.9972360730171204,1539.0,ABN,445.0,0.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PcPQQ3X1d2w,2022-10-23,-0.9891239404678344,14379.0,Sakshi,244.0,51.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
VsqYMx3DlfQ,2022-10-23,-0.9993337988853456,2155.0,Sakshi,135.0,6.0,palamaner.png,N Venkate Gowda,YSRCP,Palamaner,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
