ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
1vLy-ySBgR4,2022-11-15,0.9970386028289796,1518.0,ABN,175.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kgt0C86X_2I,2022-11-18,-0.9947267174720764,1776.0,TV9,336.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jd1zvB-QWhc,2022-11-18,-0.9971005320549012,1082.0,TV9,284.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nnh8JoAFg4E,2022-11-18,0.9947565793991088,40021.0,Sakshi,311.0,116.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oFx1WWd1DQU,2022-11-20,0.998409867286682,826.0,TV9,430.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoBmbBVUSKY,2022-11-22,-0.98812335729599,16065.0,TV5,265.0,14.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0
UOLJQiN0Ti8,2022-11-23,-0.997591495513916,806.0,TV5,423.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1teLiY1BeXo,2022-11-28,0.9988741278648376,1108.0,TV9,281.0,2.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yz8eVJ1ATFE,2022-11-28,-0.9966590404510498,2237.0,ABN,291.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PejlkTrnPpw,2022-11-28,-0.998888909816742,6577.0,TV5,324.0,5.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1BTp-6xPFiI,2022-11-30,0.989340603351593,1881.0,Sakshi,135.0,5.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
LIDUV7BJ_50,2022-11-30,0.998465895652771,1650.0,Sakshi,505.0,2.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4_6PHA27u5I,2022-11-30,0.9910518527030944,6271.0,Sakshi,494.0,15.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7zUaU-rGANQ,2022-12-01,-0.9994875192642212,864.0,TV5,66.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0
Rpn98Rk61K8,2022-12-01,0.9959979057312012,503.0,TV9,289.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me_kAPcffiQ,2022-12-01,0.9940189123153688,368.0,TV5,150.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4s9QimK4bRk,2022-12-02,-0.9979713559150696,645.0,ABN,175.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5ivO5GxHwkk,2022-12-02,-0.9937606453895568,987.0,TV9,230.0,6.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
664xnbdLvhE,2022-12-03,-0.9983933568000792,2018.0,TV9,159.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7jDHLjLbqMk,2022-12-03,-0.9973403811454772,2923.0,TV9,384.0,4.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iNzoExdJ0tg,2022-12-04,0.9960083961486816,2398.0,TV9,422.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
