ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,ap assembly session today,alliance,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
Trb2arBjGtg,2022-12-20,-0.9990746974945068,225427.0,ABN,416.0,404.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ezgL7p35UEI,2022-12-22,0.9966599941253662,932.0,Sakshi,234.0,2.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OvFVm1DlmbY,2022-12-28,0.9980514049530028,14350.0,TV5,355.0,29.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1
RHRxEB2SMCg,2023-01-01,0.994934618473053,3126.0,Sakshi,361.0,4.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
Ao1T6-P0cLg,2023-01-03,-0.992580771446228,23800.0,TV9,306.0,147.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y7nNJr2y1m4,2023-01-05,0.9971662163734436,1910.0,TV5,390.0,2.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmZolGgM_W0,2023-01-10,-0.9974821209907532,1669.0,TV5,455.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
3bpHcsDiwO4,2023-01-10,-0.9988672733306884,874.0,TV5,104.0,2.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2zXmt6UB7ss,2023-01-12,0.9956539869308472,7770.0,Sakshi,316.0,18.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
q3UZdHdiAaA,2023-01-13,-0.9963473677635192,1911.0,Sakshi,413.0,15.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VFkdpA5WxAM,2023-01-16,-0.9977498650550842,47167.0,TV5,400.0,85.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
eVVErsLIRG4,2023-01-18,0.9796484112739564,1154.0,TV9,325.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ErTP9nkr4wg,2023-01-19,0.9977062940597534,15860.0,Sakshi,505.0,25.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y4w0NhUk8EQ,2023-01-21,-0.9988207221031188,2895.0,Sakshi,154.0,15.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
imQenRy7LcE,2023-01-21,-0.9978272318840028,7244.0,Sakshi,148.0,37.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
IPf565j5VSI,2023-01-23,-0.9862528443336488,5079.0,TV5,315.0,11.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9ICB1739t48,2023-01-25,0.966271996498108,1663.0,Sakshi,272.0,8.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2ori8pselQk,2023-01-26,0.9881812334060668,2292.0,TV5,555.0,5.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
wZ7cl3uiris,2023-01-28,-0.9980711340904236,9429.0,ABN,260.0,11.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZN85NS3wyIA,2023-01-30,-0.998966097831726,1618.0,Sakshi,250.0,0.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
emOMBZJ2B2A,2023-02-01,-0.9984490871429444,889.0,Sakshi,224.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
QtDgZzg8l1Q,2023-02-01,-0.9902352690696716,3838.0,TV5,439.0,4.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YrsjiHcuLG0,2023-02-01,0.9985505938529968,9237.0,TV9,201.0,8.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
