ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ap employees,Sajjala ,ap assembly session today,alliance,gudivada amarnath,visakha
6zsiV0LjDVI,2023-01-02,-0.9994542002677916,2236.0,Sakshi,171.0,3.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
D-zupj2U5Ew,2023-01-02,0.9856964349746704,4326.0,TV9,278.0,7.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
VMgjXZqE7XQ,2023-01-03,-0.9964338541030884,3659.0,ABN,340.0,16.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IQCpgNIxXrU,2023-01-03,-0.9984205961227416,4397.0,ABN,235.0,6.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
AuU-0B_HdfM,2023-01-03,-0.9972702860832214,652.0,TV5,586.0,0.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tJj7rfS_guA,2023-01-04,0.9924129843711852,920.0,TV9,440.0,0.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezr4xnpy5RU,2023-01-08,-0.998059093952179,3317.0,TV9,404.0,4.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3AnX2oq2MY,2023-01-08,-0.9976218342781068,25375.0,TV9,384.0,14.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MQdRdmdLV0c,2023-01-10,-0.9909355044364928,25082.0,TV9,395.0,22.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k6gMYNKZpJY,2023-01-10,0.9871267676353456,1516.0,TV5,180.0,2.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
