ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,kodur.png,kadapa_l.png,vishakapatnam_west.png,kakinada.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,nandikotkur.png,tekkali.png
EpJUd4lYCFI,2023-01-23,33.0,0.0,315.0,0.9971309304237366,TV9,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
IzOEqheThl8,2023-03-14,104.0,32.0,16931.0,-0.7800822257995605,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,Devineni Avinash,1,0,0,0,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
J8zyfN4HuXY,2022-12-06,95.0,1.0,3357.0,-0.995430827140808,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
ol-faTfeV-o,2023-01-12,1945.0,7.0,6426.0,0.995615005493164,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
Uu_tpDyaKc0,2022-11-30,260.0,3.0,818.0,-0.9966456294059752,ABN,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
12Y2i5kfIk8,2022-09-01,279.0,4.0,3053.0,-0.9944551587104796,Sakshi,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
zf3V4rsRwKk,2023-01-24,210.0,5.0,3973.0,-0.997394561767578,ABN,Devineni Avinash,0,1,0,0,0,0,0,0,0,0,0,0,1
DNLiYQqc4-M,2023-02-24,130.0,49.0,6930.0,0.9871139526367188,TV5,Devineni Avinash,0,0,0,0,0,0,0,0,0,0,0,0,0
