ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,dhone.png,vizianagaram_.png,jaggayyapeta.png,kodur.png,venkatagiri.png,pulivendula.png,kanigiri.png,kalayan_durg.png,Venkata_Mahesh.png,nandikotkur.png
pPcBC5qfI98,2022-11-18,484.0,39.0,23979.0,0.9934364557266236,Sakshi,Buggana Rajendranath,1,1,0,0,0,1,0,0,0,0
JluvY7CGQ_I,2022-11-13,215.0,0.0,1680.0,-0.9982232451438904,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
snqf9RzsQKs,2023-04-09,263.0,1.0,3664.0,-0.9994114637374878,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
6qW1-hPfWH4,2022-11-17,140.0,53.0,53703.0,-0.9899407029151917,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
XUg0yCimUkU,2023-03-16,299.0,1.0,3143.0,0.9945772886276244,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,Buggana Rajendranath,0,0,0,0,1,0,0,0,1,0
Dh0nE7pwKas,2023-04-07,125.0,0.0,381.0,-0.9959956407546996,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
_rQKrrzz7aM,2022-09-15,27474.0,8.0,27080.0,0.9921869039535522,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
CDsP71YWB7k,2023-04-06,281.0,0.0,2196.0,-0.9898271560668944,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
SUe4DhsDOoE,2023-03-24,134.0,10.0,22225.0,0.9943872690200806,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
PJ-BRIv8ZV8,2023-03-16,78.0,2.0,759.0,0.9918538331985474,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
DtWviCyBBMM,2022-12-27,211.0,0.0,1291.0,0.9907149076461792,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
qchdj2YqKvY,2021-02-15,191.0,0.0,2025.0,0.9966338276863098,Sakshi,Buggana Rajendranath,0,0,0,1,0,0,0,0,0,0
0l_S7gRpoK0,2021-02-15,223.0,7.0,7595.0,0.99103981256485,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
QIpgCsLMq1Q,2023-03-14,180.0,3.0,12855.0,0.9821158647537231,Sakshi,Buggana Rajendranath,0,0,0,0,0,1,0,0,0,0
IxKe9la-87U,2023-03-17,299.0,2.0,1223.0,0.998814582824707,Sakshi,Buggana Rajendranath,0,1,1,1,1,0,0,0,0,0
6SD7fy7wWyc,2022-12-12,306.0,2.0,6976.0,0.9979780316352844,TV9,Buggana Rajendranath,0,0,0,0,0,1,0,0,0,0
j3JGidB9ub4,2023-03-16,159.0,0.0,614.0,-0.9977813363075256,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
SPRs6I9SEsA,2023-03-16,110.0,0.0,461.0,0.9977752566337584,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
S9npJYigyW0,2022-11-27,68.0,0.0,1156.0,-0.9908213019371032,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
kC_v-fIqJLE,2022-11-21,188.0,2.0,12016.0,0.994716227054596,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
CVb_u6J0Mzc,2021-02-13,209.0,0.0,3128.0,0.9985673427581788,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
GBWFnJ5Kkb0,2023-03-18,244.0,5.0,2192.0,-0.998222291469574,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Cj0KwUA7rhs,2022-09-21,170.0,0.0,1252.0,0.995866060256958,Sakshi,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
oIWqrfB2Q94,2022-03-10,142.0,21.0,17230.0,0.9887577891349792,Sakshi,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
uyW46xwf-mg,2022-12-08,178.0,4.0,3654.0,0.9982505440711976,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
v7cAtkRIYz8,2022-09-12,315.0,3.0,2962.0,-0.9985918402671814,TV5,Buggana Rajendranath,1,0,0,0,0,0,0,0,0,0
2LzsEAk31Ug,2022-12-21,162.0,8.0,2044.0,0.9955406785011292,Sakshi,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
VZ_aEV_Rfeo,2023-04-11,73.0,1.0,1374.0,-0.996743142604828,TV5,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
Wo43EsB1hhY,2023-03-25,219.0,10.0,154499.0,0.992953598499298,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
dUM2QL4G4tA,2023-03-08,226.0,0.0,46766.0,-0.9899062514305116,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
975gxbGlHkQ,2022-12-08,224.0,6.0,7509.0,0.9982118606567384,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,245.0,4.0,2185.0,-0.9947564601898192,ABN,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
kgSS8K0w2eE,2022-11-20,154.0,1.0,2282.0,-0.9983007311820984,TV9,Buggana Rajendranath,0,0,0,0,0,0,0,0,0,0
