ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,gandhar_nellore.png,kodur.png,venkatagiri.png,alur.png,kakinada.png,narsapuram_l.png,palakollu.png,pulivendula.png,kanigiri.png,kalayan_durg.png,madugula.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,vizianagaram.png,tekkali.png,pawan.png
XIZNTdN4T0s,2022-02-04,271.0,31.0,11210.0,-0.9963300824165344,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xFLJJalYyTA,2021-02-17,180.0,0.0,2723.0,0.9986616373062134,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fSXRzf0cYSA,2023-03-29,284.0,6.0,8067.0,-0.9980847835540771,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jjb_S_ilebY,2023-02-24,175.0,4.0,2767.0,-0.9934251308441162,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4BMxWY97UzY,2023-03-26,41.0,15.0,34095.0,-0.9989354014396667,TV9,cpi narayana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-h4Zym4OrrY,2023-02-03,129.0,27.0,12460.0,-0.9845870733261108,Sakshi,cpi narayana,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rUa5HhcDH5w,2023-04-05,125.0,1.0,1427.0,0.9977287650108336,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VL5RlsFVKx4,2022-11-26,308.0,2.0,1355.0,-0.9888051748275756,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SO2Y6lBUYDA,2022-09-14,70.0,0.0,828.0,-0.99519944190979,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GQtmF7al5BA,2023-04-02,56.0,14.0,14415.0,-0.997617781162262,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4QDkJWu1-eA,2023-02-02,63.0,3.0,1740.0,-0.9970299005508424,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zKffaCtXdnI,2021-02-14,75.0,5.0,5216.0,0.998708724975586,Sakshi,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eZnpLaI0LGM,2022-11-24,300.0,2.0,2414.0,-0.988382875919342,ABN,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O8bcvpILuQ8,2023-02-23,140.0,3.0,2913.0,0.9983585476875304,ABN,cpi narayana,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hUp4ImPVDZc,2023-03-13,314.0,24.0,6763.0,0.9292523264884948,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmXEHQRgG5Y,2022-10-11,107.0,1.0,2249.0,0.998485505580902,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mF87VXcrpt0,2023-02-22,180.0,1.0,3106.0,0.9919710159301758,TV5,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-VdjVix8_Xs,2022-11-18,132.0,0.0,1490.0,-0.9983441829681396,TV9,cpi narayana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
