ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,venkatagiri.png,kakinada.png,kalayan_durg.png,sambasivarao.png
41Ff40SCWSg,2023-03-17,208.0,220.0,223211.0,-0.9983108043670654,TV9,MLC Elections 2023,0,0,0,0
n7blWxtUVIA,2023-03-25,58.0,7.0,11553.0,0.9933071732521056,ABN,MLC Elections 2023,0,0,0,0
_ER8CqI15Jc,2023-03-18,208.0,1.0,34348.0,-0.992868959903717,TV9,MLC Elections 2023,0,0,0,0
R3Qb6czxscU,2023-03-16,314.0,19.0,68760.0,0.9970676302909852,TV5,MLC Elections 2023,0,0,0,0
umWN-J4zjp4,2023-03-17,81.0,91.0,24692.0,0.9988093376159668,Sakshi,MLC Elections 2023,0,0,0,0
WGJR6kqs6R0,2023-03-09,297.0,7.0,1749.0,-0.9984232187271118,TV9,MLC Elections 2023,0,0,0,0
xLbRJmj8HCQ,2023-03-25,347.0,5.0,3173.0,-0.9886431097984314,TV5,MLC Elections 2023,0,0,0,0
sZdHlvWxrqU,2023-03-18,817.0,14.0,3823.0,0.9981340765953064,TV5,MLC Elections 2023,0,0,0,0
UI3Y7LVjO-A,2023-04-02,310.0,24.0,30132.0,0.993238091468811,TV5,MLC Elections 2023,0,0,0,0
5JJbbs00crY,2023-03-18,146.0,1.0,1804.0,0.9838029146194458,TV9,MLC Elections 2023,0,0,0,0
Ofu_OCPPINA,2023-03-19,233.0,35.0,71598.0,0.9987325072288512,TV5,MLC Elections 2023,0,0,1,0
0dddbGxsqPY,2023-03-19,295.0,6.0,3252.0,-0.9814020991325378,TV9,MLC Elections 2023,0,0,0,0
KNn5DXEkh1Y,2023-02-27,218.0,0.0,20959.0,-0.9921367168426514,TV9,MLC Elections 2023,0,0,0,0
EG4ZOvCSR94,2023-03-24,188.0,5.0,3028.0,-0.9741408228874208,TV5,MLC Elections 2023,0,0,1,0
gKiS9PPJMA8,2023-03-13,145.0,1.0,3155.0,0.9928922653198242,TV5,MLC Elections 2023,0,0,0,0
Ncr_E0epzFo,2023-03-17,93.0,56.0,29808.0,0.9988679885864258,Sakshi,MLC Elections 2023,0,1,1,0
8aPdeIQKppc,2023-03-31,277.0,0.0,677.0,-0.8419522047042847,TV9,MLC Elections 2023,0,0,0,0
TIRPPWBSu6g,2023-03-18,217.0,87.0,59735.0,-0.9979023933410645,TV9,MLC Elections 2023,1,0,0,0
Tkre7EOUzSM,2023-03-17,153.0,133.0,79218.0,0.9986612796783448,TV5,MLC Elections 2023,0,0,0,0
iONnl5992Mg,2023-03-13,260.0,13.0,3373.0,0.9884963035583496,TV5,MLC Elections 2023,0,0,0,0
Q05HI5FK3_k,2023-03-18,196.0,9.0,22022.0,0.9938977360725404,TV5,MLC Elections 2023,0,0,1,0
LhTNWVD-CyA,2023-03-18,314.0,36.0,7690.0,-0.9992877840995787,TV9,MLC Elections 2023,0,0,0,0
QjUQIRt4-0Y,2023-03-16,216.0,24.0,17991.0,-0.9986559152603148,TV5,MLC Elections 2023,0,0,0,0
wEvWyaHrIYo,2023-03-23,158.0,9.0,8829.0,-0.9978340268135072,TV9,MLC Elections 2023,0,0,0,0
U8ldfBc8jDM,2022-11-27,261.0,1.0,1735.0,-0.9992228746414183,ABN,MLC Elections 2023,0,0,0,0
m2T0uwu44Ao,2023-03-13,340.0,5.0,1938.0,-0.9992941617965698,TV5,MLC Elections 2023,0,0,0,1
yFknW0UjurY,2023-03-16,173.0,0.0,1904.0,0.9910798668861388,TV9,MLC Elections 2023,0,0,0,0
2pHA62D5VWc,2023-03-18,137.0,123.0,148009.0,0.998711347579956,TV9,MLC Elections 2023,0,0,0,0
5mrlKdwMFQM,2023-03-14,405.0,1.0,2303.0,0.9970671534538268,TV5,MLC Elections 2023,0,0,0,0
Xn51cZTiPz4,2023-01-26,80.0,4.0,4609.0,0.9982498288154602,Sakshi,MLC Elections 2023,0,0,0,0
0ov2i80V1Tw,2023-03-07,57.0,0.0,672.0,0.9982977509498596,TV9,MLC Elections 2023,0,0,0,0
LnMj9glMtxQ,2022-11-18,232.0,57.0,6865.0,-0.9987987279891968,TV9,MLC Elections 2023,0,0,0,0
bmt0wJyH0ho,2023-02-27,314.0,6.0,6989.0,0.9893754720687866,Sakshi,MLC Elections 2023,0,0,0,0
NsemBFVgD6g,2023-03-18,330.0,16.0,7139.0,-0.991844117641449,TV5,MLC Elections 2023,0,0,0,0
RWm8OrxJE1c,2023-02-23,47.0,0.0,625.0,0.9840803742408752,TV5,MLC Elections 2023,0,0,0,0
