ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,Srungavarapukota.png,tenali.png,kodur.png,srikakulam_.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,eluru.png,venkat_krishna.png,palakollu.png,penamaluru.png,myudukur.png,pulivendula.png,kanigiri.png,kalayan_durg.png,murthy.png,madugula.png,unguturu.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,rayachoti.png,nandyal_l.png,nandikotkur.png,tekkali.png,jammalamadugu.png,denduluru.png,pawan.png
jEYn5dWbf0k,2023-04-11,78.0,11.0,2301.0,-0.9947355389595032,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QZBZKQ0JE_A,2023-02-11,327.0,2.0,1626.0,-0.997768759727478,ABN,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nFArXVlaQHY,2022-11-06,148.0,1.0,5580.0,0.9805907607078552,ABN,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbG75tso67Q,2022-11-03,170.0,15.0,3604.0,-0.992377519607544,TV5,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avMeQ9U-2tg,2022-11-24,290.0,2.0,1340.0,0.9725658297538756,ABN,election commission,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
wUOElyI2mqY,2020-03-14,125.0,0.0,1226.0,-0.9951907396316528,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rw8L54zANQc,2022-12-20,657.0,338.0,269970.0,0.9860602617263794,TV5,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CjH9qxWu0ag,2021-10-28,288.0,36.0,9261.0,-0.995141625404358,Sakshi,election commission,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
xO6QKKPHXZc,2022-12-09,219.0,4.0,3069.0,-0.99627423286438,TV9,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYKFDi_RAFo,2021-11-17,73.0,4.0,5119.0,0.9985499978065492,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
